overs,score,Batsman,Non-Strike Batsman,Bowler,Runs
7.4,61/1,SA Yadav,RV Uthappa,R Ashwin,double
7.5,63/1,SA Yadav,RV Uthappa,R Ashwin,single
8.0,64/1,SA Yadav,RV Uthappa,SS Tiwary,no runs
8.1,64/1,SA Yadav,RV Uthappa,SS Tiwary,four runs!
8.2,68/1,SA Yadav,RV Uthappa,SS Tiwary,no runs
8.3,68/1,SA Yadav,RV Uthappa,SS Tiwary,extra
8.3,69/1,SA Yadav,RV Uthappa,SS Tiwary,single
8.4,70/1,RV Uthappa,SA Yadav,SS Tiwary,out
8.5,70/2,Shakib Al Hasan,SA Yadav,SS Tiwary,no runs
9.0,70/2,SA Yadav,Shakib Al Hasan,R Bhatia,four runs!
9.1,74/2,SA Yadav,Shakib Al Hasan,R Bhatia,single
9.2,75/2,Shakib Al Hasan,SA Yadav,R Bhatia,four runs!
9.3,79/2,Shakib Al Hasan,SA Yadav,R Bhatia,no runs
9.4,79/2,Shakib Al Hasan,SA Yadav,R Bhatia,single
9.5,80/2,SA Yadav,Shakib Al Hasan,R Bhatia,no runs
10.0,80/2,Shakib Al Hasan,SA Yadav,M Ashwin,four runs!
10.1,84/2,Shakib Al Hasan,SA Yadav,M Ashwin,single
10.2,85/2,SA Yadav,Shakib Al Hasan,M Ashwin,no runs
10.3,85/2,SA Yadav,Shakib Al Hasan,M Ashwin,no runs
10.4,85/2,SA Yadav,Shakib Al Hasan,M Ashwin,single
10.5,86/2,Shakib Al Hasan,SA Yadav,M Ashwin,single
11.0,87/2,Shakib Al Hasan,SA Yadav,Ankit Sharma,single
11.1,88/2,SA Yadav,Shakib Al Hasan,Ankit Sharma,single
11.2,89/2,Shakib Al Hasan,SA Yadav,Ankit Sharma,six!!
11.3,95/2,Shakib Al Hasan,SA Yadav,Ankit Sharma,no runs
11.4,95/2,Shakib Al Hasan,SA Yadav,Ankit Sharma,no runs
11.5,95/2,Shakib Al Hasan,SA Yadav,Ankit Sharma,six!!
12.0,101/2,SA Yadav,Shakib Al Hasan,R Ashwin,four runs!
12.1,105/2,SA Yadav,Shakib Al Hasan,R Ashwin,single
12.2,106/2,Shakib Al Hasan,SA Yadav,R Ashwin,no runs
12.3,106/2,Shakib Al Hasan,SA Yadav,R Ashwin,single
12.4,107/2,SA Yadav,Shakib Al Hasan,R Ashwin,four runs!
12.5,111/2,SA Yadav,Shakib Al Hasan,R Ashwin,four runs!
13.0,115/2,Shakib Al Hasan,SA Yadav,SS Tiwary,single
13.1,116/2,SA Yadav,Shakib Al Hasan,SS Tiwary,single
13.2,117/2,Shakib Al Hasan,SA Yadav,SS Tiwary,double
13.3,119/2,Shakib Al Hasan,SA Yadav,SS Tiwary,double
13.4,121/2,Shakib Al Hasan,SA Yadav,SS Tiwary,three runs
13.5,124/2,SA Yadav,Shakib Al Hasan,SS Tiwary,no runs
14.0,124/2,Shakib Al Hasan,SA Yadav,R Bhatia,no runs
14.1,124/2,Shakib Al Hasan,SA Yadav,R Bhatia,no runs
14.2,124/2,Shakib Al Hasan,SA Yadav,R Bhatia,single
14.3,125/2,SA Yadav,Shakib Al Hasan,R Bhatia,extra
14.3,126/2,SA Yadav,Shakib Al Hasan,R Bhatia,no runs
14.4,126/2,SA Yadav,Shakib Al Hasan,R Bhatia,single
14.5,127/2,Shakib Al Hasan,SA Yadav,R Bhatia,no runs
15.0,127/2,SA Yadav,Shakib Al Hasan,M Ashwin,single
15.1,128/2,Shakib Al Hasan,SA Yadav,M Ashwin,out
15.2,128/3,YK Pathan,SA Yadav,M Ashwin,single
15.3,129/3,SA Yadav,YK Pathan,M Ashwin,extra
15.3,130/3,SA Yadav,YK Pathan,M Ashwin,extra
15.3,131/3,SA Yadav,YK Pathan,M Ashwin,extra
15.3,132/3,SA Yadav,YK Pathan,M Ashwin,no runs
15.4,132/3,SA Yadav,YK Pathan,M Ashwin,out
15.5,132/4,AD Russell,YK Pathan,M Ashwin,no runs
16.0,132/4,YK Pathan,AD Russell,Ankit Sharma,single
16.1,133/4,AD Russell,YK Pathan,Ankit Sharma,no runs
16.2,133/4,AD Russell,YK Pathan,Ankit Sharma,single
16.3,134/4,YK Pathan,AD Russell,Ankit Sharma,no runs
16.4,134/4,YK Pathan,AD Russell,Ankit Sharma,double
16.5,136/4,YK Pathan,AD Russell,Ankit Sharma,single
17.0,137/4,YK Pathan,AD Russell,R Ashwin,single
17.1,138/4,AD Russell,YK Pathan,R Ashwin,four runs!
17.2,142/4,AD Russell,YK Pathan,R Ashwin,four runs!
17.3,146/4,AD Russell,YK Pathan,R Ashwin,single
17.4,147/4,YK Pathan,AD Russell,R Ashwin,double
17.5,149/4,YK Pathan,AD Russell,R Ashwin,single
18.0,150/4,YK Pathan,AD Russell,SS Tiwary,single
18.1,151/4,AD Russell,YK Pathan,SS Tiwary,single
18.2,152/4,YK Pathan,AD Russell,SS Tiwary,no runs
18.3,152/4,YK Pathan,AD Russell,SS Tiwary,four runs!
18.4,156/4,YK Pathan,AD Russell,SS Tiwary,no runs
18.5,156/4,YK Pathan,AD Russell,SS Tiwary,no runs
19.0,156/4,AD Russell,YK Pathan,R Bhatia,no runs
19.1,156/4,AD Russell,YK Pathan,R Bhatia,single
19.2,157/4,YK Pathan,AD Russell,R Bhatia,extra
19.2,158/4,YK Pathan,AD Russell,R Bhatia,single
19.3,159/4,AD Russell,YK Pathan,R Bhatia,four runs!
19.4,163/4,AD Russell,YK Pathan,R Bhatia,six!!
